Title	Date	Place	Submission deadline	More info, application	Project	Status	Funded by	Leave date	Arrival date	Amount receivable	Claimed for Elvonal	Claimed for ERC	Event posted on website
NSE	2026-04-10	Miami	2026-01-30	https://sites.google.com/view/nse2026/home	choo-siow-calvo	accepted	ERC	 	 	 	 	 	 
Carnegie-Rochester-NYU Public Policy Conference	2026-05-08	Rochester, NY	2025-05-26	https://www.sas.rochester.edu/eco/news-events/carnegie-rochester-nyu-conference/call-for-papers.html	babyboom	no	 	 	 	 	 	 	 
GEN NYC	2026-05-14	New York City	2026-02-04	https://sites.google.com/site/petereppinger/gen-workshop	something trade	 	 	 	 	 	 	 	 
Esade Macro Meetings	2026-05-14	Barcelona	2026-02-15	https://itemsweb.esade.edu/wi/research/gref/Esade_Macro_Meetings_2026.pdf?_gl=1*1vxkcgn*FPAU*ODc3MDEyODYyLjE3Njg1NTgxNzg.*_ga*MTg5ODg0MzAyNy4xNzY4NTU3NjA0*_ga_S41Q3C9XT0*czE3Njg1NTc2MDQkbzEkZzEkdDE3Njg1NTgxODUkajUyJGwwJGg5MTc5MjE5NjA.*_fplc*NU91RDRoaUg3ZDVjNnhENWFGZ25TcGtlaEJaTlN0R1hvdWhWQnI4JTJGa3B3V2pCNUhlVjEzeFlkY2RYZCUyQkplc01JUlp0UXpvTGoxRHNKRmNydHZndmdEc1IwTWlVYWxlaTFBdkE4dWlLZUJEbVRGUXklMkZvRmZTaEdYOUl1SnZRJTNEJTNE	ai-learning / GMRF	accepted	ERC	 	 	 	 	 	 
CEPR Summer Symposium	2026-05-20	Lille	2026-01-11	https://cepr.org/events/33rd-cepr-european-summer-symposium-international-macroeconomics-essim	 	no	 	 	 	 	 	 	 
Macroecon Conference	2026-05-21	Tilburg	2026-02-22	https://macro-economics-tilburg.weebly.com/call-for-papers-2026.html	ai-learning / GMRF	 	 	 	 	 	 	 	 
BSE Summer Forum	2026-06-02	Barcelona	2026-02-28	https://bse.eu/summer-forum https://www.dropbox.com/scl/fi/gxwbm2dm5hmvdz3zvg27w/sf2026-call-for-papers-growth-and-productivity.pdf?rlkey=yttn5g7uytcxgcv2utikn72fg&e=2&dl=0	 	 	 	 	 	 	 	 	 
ERWIT	2026-06-03	Oslo	2026-01-30	https://cepr.org/events/event-series/european-research-workshop-international-trade-erwit/european-research-29	 	 	 	 	 	 	 	 	 
Growth, Innov. and Social Model Workshop	2026-06-04	Paris	2026-03-13	https://cepr.org/events/cepr-rpn-growth-innovation-and-social-model-europe-inaugural-workshop	 	Zsofi?	 	 	 	 	 	 	 
AI and Society Conference	2026-06-11	Milan	2026-02-15	GermainGauthier az X-en: „📣 Call for Papers: AI and Society Conference 🗓️ 11–12 June 2026 at Bocconi University Submit full papers: https://t.co/sb2faBH9rN Please share with colleagues & students! https://t.co/onzG62ZHJx” / X	ai-learning	submitted?	 	 	 	 	 	 	 
Macro with Micro Data Conf	2026-06-12	Munich	2026-02-15	https://www.ifo.de/en/cesifo/event/2026-06-12/cesifo-area-conference-macro-micro-data-2026	 	submitted?	 	 	 	 	 	 	 
CESifo Summer Institute	2026-06-19	Venice	2026-01-18	CESifo Venice Summer Institute 2026 | The Economic Misfit	ai-learning	submitted	 	 	 	 	 	 	 
World Congress IEA	2026-06-22	Belgrade	2025-11-15	https://ieawc2026.org/submission/?utm_source=BenchmarkEmail&utm_campaign=Aug_13_2025_Email_Call_for_papers_IEA&utm_medium=email	babyboom	accepted	ERC	 	 	 	 	 	 
"Firms, Labor Markets, and Development" Workshop	2026-06-26	Naples	2026-02-28	https://cepr.org/events/firms-labour-markets-and-development-workshop-filmad	ai-learning / GMRF	submitted?	 	 	 	 	 	 	 
JEBO Beyond Automation	2026-07-01	 	2026-03-31	https://www.sciencedirect.com/special-issue/328810/beyond-automation-genai-and-economics	 	no	 	 	 	 	 	 	 
Society for Econ Dynamics Conf	2026-07-02	Athens	2026-02-15	https://theeconomicmisfit.com/2025/12/25/2026-sed-meeting-society-for-economic-dynamics-conference/	 	 	 	 	 	 	 	 	 
Roman Kozg Tarsasag	2026-07-29	Kolozsvar	2026-07-29	keynote	 	accepted	 	 	 	 	 	 	 
SITE 226	2026-08-04	Stanford	 	https://economics.stanford.edu/events/site-2026/session-5-micro-and-macro-labor-markets	 	 	 	 	 	 	 	 	 
JuliaCon	2026-08-10	Mainz	2026-02-28	https://juliacon.org/2026/	 	no	 	 	 	 	 	 	 
EEA-ESEM Congresses	2026-08-17	Dublin	2026-02-23	https://www.eea-esem-congresses.org/	ai-learning / GMRF	 	 	 	 	 	 	 	 
RseCon	2026-09-06	Sheffield	2026-04-17	https://rsecon26.society-rse.org/ https://rsecon26.society-rse.org/important-dates/	 	 	 	 	 	 	 	 	 
Github Universe	2026-10-28	San Francisco	 	https://githubuniverse.com/	 	 	 	 	 	 	 	 	 
